name	count
DANIEL FREDR.	2
CHRISTINA MARGR:A	2
DAGMAR CHARL. INGEBORG	1
JONAS WILLIAM	6
BRITHA MARGRETA	2
KARL OLOF SANDVIS	1
CHRIST. MAGDALENA	5
¤ CHARLOTTA	5
ANTON GOTTHARD	2
OSKAR ANDERS	3
OLOF LYCKOM	1
MAGDALENA MATHILDA	10
GRETA MAGDL	1
JON. GUST.	28
KARL ANTON ARNE	1
BRITA MARTA	27
AGNES EMMELI CHARLOTTA	1
SOFIA CHRISTINA ALBERTINA	3
PETER ALLGOTT	1
EVA MEDORA	1
NORINA GÖTA BERNHARDINA	1
KATHARINA ELISABET	1
BRITA MARIA	707
HELENA AQVIL	1
MARTIN GUNNERIUS	3
BOTILLA	1
MARGRETA AUGUSTA	52
AUG. THERESIA	1
SARA BRIT.	4
ELISABET KATRINA	5
CATHARINA ANNA	1
LARS ALFONIUS	1
MARGRETA EUFROSYNA	33
BR. ¤	1
PER ERHARD	3
EMMA KAROLINA JOHANNA	1
JOHANN. ELISAB.	1
JOHAN EDVIN	126
CHRIST. LUDV.	2
GERHARD ANDREAS	1
GUSTAF KEJSAR	1
OLOF HEMOR	1
HEDDA THERESIA	2
PER ER.	101
BETTY MARGARETA	5
EMMA CHRISTINA CHARLOTTA	1
ALLGOTT HERMAN	1
BRITA MARG.	26
[BRITA ] MARIA BRITA	1
FREDRIKA AMAL.	2
ANNA SVEA	1
FREDRIK EMANUEL	33
¤IKA CAROLINA	5
RUNO EDVIN	1
CARHRINA	1
GOTTFRID KONRAD KRISTIAN	1
ALMA KAROLINA	136
ALMA AUGUSTA	73
ERIK JOHAN EDVARD	1
CATHARINA AMANDA	37
WENDLA HELENA	3
AND. JOH. JAK.	1
VILAS ALBIN	1
BRITA MARGR	1
HANS ANSHELM	2
JOHAN AXEL LEOPOLD	2
KATARINA TERESIA ANTOINETTA	1
A. PETT.	2
ANNA ROSINA	8
SARA BRITA	709
INGEB. BRIGITTA	1
AMELIE ELVIRA	2
(PER) CARL ERIK	1
STINA CAROLINA	68
BERTA MAURINA	1
EINAR OLAUS	1
VERNER JOHANNES	4
SIGURD ANDREAS	8
JOHAN OSCAR FRITHIOF	4
OLOF EJNAR	4
OTTO ANSHELM	4
MÄRTA KRISTIA	1
KNUT ANDOR	1
LISA SOFFIA	7
MATTHIAS NIKLAS	1
ANNA MARIA VALBORG	1
FRIDA INGEMARD	1
ELISABETH CATARINA	4
FREDR. CHARLOTTA EUG.	1
PER FILLIP	1
EN DÖDFÖDD FLIKA	1
¤HELMINA	2
EVELINA EMILIA MARGRETA	1
JUDIT SAFIRA	2
MARIA SADURA	1
ALBERT SIGVARD	1
FREDRIK JOHAN	15
GRETA LINA	2
ERHARD MARTELL	1
KARL FRITS JOHAN	1
BARBRO BRITHA	7
MARTA BRIT	1
NILS AXEL LEONARD	2
HELENA MARTINA	1
ELISAB: KRISTINA	1
WICTOR ERNST	1
HELGA CHRISTINA	3
PER TYKO MARTIN	1
GRETA MAGL.	5
GÖTHA THERESIA	1
BROR DAVID	2
MÄRTA LAURETTA	3
ELIS. MARGR.	4
MARTA WILHELMINA	5
FRIDA EUGENIA	14
JOSEFINA JAKOBINA	1
DAGMAR JOSEFINA	3
PAUL WILH.	5
CHARLOTTA ALEXANDRA	2
DAGNY ELEONORA	1
EDITH ROSOLIA	1
BROR BRYNOLPH	2
SKALIFS AUGUST HILDING	1
HILMA LOVISA ALBERTINA	1
AUGUSTNIUS	1
¤ EUFROSYNA	2
JOHAN ANTONIUS	13
HELGA ERIKA OLIVIA	2
AUGUSTA MATILDA JULIA	1
PAULINA WILHELMINA	2
JOHAN ARVID	334
¤ EUFROSYNE	1
GÖTA OLIVIA	2
MAGDLENA MA¤TA	1
LINUS NIKOLAUS	6
